Entry ID,Structure Author,Crystal Growth Procedure,Structural Genomics Project Center Name,PubMed Central ID,PubMed ID,Release Date,Ligand,PDB ID,Disulfide Bond Count per Deposited Model,Structure Determination Methodology,Data Collection Resolution,DOI,Title,Expression Host,Source Organism,Molecular Weight (Entity),Oligomeric State,Glycosylation Site,SLC_ID
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
7DSK,"Yan, R.H., Li, Y.N., Zhang, Y.Y., Zhong, X.Y., Zhou, Q.",,,PMC7988154,33758168,2021-03-10,,7DSK,1,experimental,,10.1038/s41421-021-00247-4,Mechanism of substrate transport and inhibition of the human LAT1-4F2hc amino acid transporter.,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.187,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
7DSL,"Yan, R.H., Li, Y.N., Zhang, Y.Y., Zhong, X.Y., Zhou, Q.",,,PMC7988154,33758168,2021-03-10,,7DSL,1,experimental,,10.1038/s41421-021-00247-4,Mechanism of substrate transport and inhibition of the human LAT1-4F2hc amino acid transporter.,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.187,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
7DSN,"Yan, R.H., Li, Y.N., Zhang, Y.Y., Zhong, X.Y., Zhou, Q.",,,PMC7988154,33758168,2021-03-10,,7DSN,1,experimental,,10.1038/s41421-021-00247-4,Mechanism of substrate transport and inhibition of the human LAT1-4F2hc amino acid transporter.,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.187,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
7DSQ,"Yan, R.H., Li, Y.N., Zhang, Y.Y., Zhong, X.Y., Zhou, Q.",,,PMC7988154,33758168,2021-03-10,,7DSQ,,experimental,,10.1038/s41421-021-00247-4,Mechanism of substrate transport and inhibition of the human LAT1-4F2hc amino acid transporter.,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.187,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
6JMQ,"Lee, Y., Nishizawa, T., Kusakizako, T., Oda, K., Ishitani, R., Nakane, T., Nureki, O.",,,,31160781,2019-06-19,,6JMQ,4,experimental,,10.1038/s41594-019-0237-7,Cryo-EM structure of the human L-type amino acid transporter 1 in complex with glycoprotein CD98hc.,Homo sapiens,Homo sapiens,56.044,Hetero 4-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,68.07,,,SLC7A5
,,,,,,,,,,,,,,Mus musculus,Mus musculus,22.578,,,SLC7A5
,,,,,,,,,,,,,,Mus musculus,Mus musculus,23.227,,,SLC7A5
6JMR,"Lee, Y., Nishizawa, T., Kusakizako, T., Oda, K., Ishitani, R., Yokoyama, T., Nakane, T., Shirouzu, M., Nureki, O.",,,,31160781,2019-06-19,,6JMR,8,experimental,,10.1038/s41594-019-0237-7,Cryo-EM structure of the human L-type amino acid transporter 1 in complex with glycoprotein CD98hc.,Mus musculus,Mus musculus,23.832,Hetero 5-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Mus musculus,Mus musculus,24.115,,,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,68.07,,,SLC7A5
,,,,,,,,,,,,,,Mus musculus,Mus musculus,22.578,,,SLC7A5
,,,,,,,,,,,,,,Mus musculus,Mus musculus,23.227,,,SLC7A5
8IDA,"Yan, R.H., Li, Y.N., Shi, T.H.",,,,,2024-07-10,,8IDA,1,experimental,,,Overall structure of the LAT1-4F2hc bound with tyrosine,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.187,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
8J8L,"Yan, R.H., Li, Y.N., Shi, T.H.",,,,,2024-07-17,,8J8L,1,experimental,,,Overall structure of the LAT1-4F2hc bound with L-dopa,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.187,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
8J8M,"Yan, R.H., Li, Y.N., Shi, T.H.",,,,,2024-07-10,,8J8M,1,experimental,,,Overall structure of the LAT1-4F2hc bound with tryptophan,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.187,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC22A3
7ZH0,"Khanppnavar, B., Korkhov, V., Qi, C.",,,PMC9640557,36344565,2022-11-09,,7ZH0,2,experimental,,10.1038/s41467-022-34284-8,Structural basis of organic cation transporter-3 inhibition.,Homo sapiens,Homo sapiens,61.333,Monomer,,SLC22A3
7ZH6,"Khanppnavar, B., Korkhov, V.",,,PMC9640557,36344565,2022-11-09,,7ZH6,2,experimental,,10.1038/s41467-022-34284-8,Structural basis of organic cation transporter-3 inhibition.,Homo sapiens,Homo sapiens,61.333,Monomer,,SLC22A3
7ZHA,"Khanppnavar, B., Korkhov, V.",,,PMC9640557,36344565,2022-11-09,,7ZHA,2,experimental,,10.1038/s41467-022-34284-8,Structural basis of organic cation transporter-3 inhibition.,Homo sapiens,Homo sapiens,61.333,Monomer,,SLC22A3
,,,,,,,,,,,,,,,,,,,NPC1
6V3F,"Huang, C.S., Yu, X., Min, X., Wang, Z.",,,,,2020-07-01,,6V3F,13,experimental,,10.1126/sciadv.abb1989,Cryo-EM structures of NPC1L1 reveal mechanisms of cholesterol transport and ezetimibe inhibition,Homo sapiens,Rattus norvegicus,147.64,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
6V3H,"Huang, C.S., Yu, X., Min, X., Wang, Z.",,,,,2020-07-01,,6V3H,14,experimental,,10.1126/sciadv.abb1989,Cryo-EM structures of NPC1L1 reveal mechanisms of cholesterol transport and ezetimibe inhibition,Homo sapiens,Rattus norvegicus,147.64,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
6UOX,"Long, T., Li, X.",,,PMC6952396,31919352,2020-01-15,,6UOX,15,experimental,,10.1038/s41467-019-13917-5,Structural basis for itraconazole-mediated NPC1 inhibition.,Homo sapiens,Homo sapiens,143.315,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
6W5R,"Yan, N., Qian, H.W., Wu, X.L.",,,,32544384,2020-06-17,,6W5R,15,experimental,,10.1016/j.cell.2020.05.020,Structural Basis of Low-pH-Dependent Lysosomal Cholesterol Egress by NPC1 and NPC2.,Homo sapiens,Homo sapiens,146.084,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
6W5S,"Yan, N., Qian, H.W., Wu, X.L.",,,,32544384,2020-06-17,,6W5S,15,experimental,,10.1016/j.cell.2020.05.020,Structural Basis of Low-pH-Dependent Lysosomal Cholesterol Egress by NPC1 and NPC2.,Homo sapiens,Homo sapiens,146.084,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
6W5T,"Yan, N., Qian, H.W., Wu, X.L.",,,,32544384,2020-06-17,,6W5T,14,experimental,,10.1016/j.cell.2020.05.020,Structural Basis of Low-pH-Dependent Lysosomal Cholesterol Egress by NPC1 and NPC2.,Homo sapiens,Homo sapiens,146.084,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
6W5U,"Yan, N., Qian, H.W., Wu, X.L.",,,,32544384,2020-06-17,,6W5U,14,experimental,,10.1016/j.cell.2020.05.020,Structural Basis of Low-pH-Dependent Lysosomal Cholesterol Egress by NPC1 and NPC2.,Homo sapiens,Homo sapiens,146.084,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
6W5V,"Yan, N., Qian, H.W., Wu, X.L.",,,,32544384,2020-06-17,,6W5V,18,experimental,,10.1016/j.cell.2020.05.020,Structural Basis of Low-pH-Dependent Lysosomal Cholesterol Egress by NPC1 and NPC2.,Homo sapiens,Homo sapiens,146.084,Hetero 2-mer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,17.933,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
8EUS,"Odongo, L., Pornillos, O.","0.1 M sodium malonate
20% PEG 3,350",,PMC9903137,36748341,2023-02-22,,8EUS,4,experimental,2.3,10.1107/S2053230X23000705,Purification and structure of luminal domain C of human Niemann-Pick C1 protein.,Escherichia coli BL21(DE3),Homo sapiens,30.167,Monomer,,NPC1
,,,,,,,,,,,,,,,,,Monomer,,NPC1
5U74,"Li, X.","0.1 M sodium acetate pH 5.5, 0.1 M NaCl, 10% (vol/vol) PEG4000, 6% (vol/vol) Jeffamine M-600 pH 7.0, and 6% (vol/vol) PEG P400",,PMC5576846,28784760,2017-10-11,,5U74,6,experimental,3.33,10.1073/pnas.1711716114,3.3 angstrom structure of Niemann-Pick C1 protein reveals insights into the function of the C-terminal luminal domain in cholesterol transport.,Homo sapiens,Homo sapiens,142.255,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
5HNS,"Zhao, Y., Ren, J., Harlos, K., Stuart, D.I.",30% polyethylene glycol mono-ethyl Ether 2000 and 0.1 M potassium thiocyanate,,PMC4819692,26846330,2016-02-10,,5HNS,4,experimental,2.45,10.1002/1873-3468.12089,Structure of glycosylated NPC1 luminal domain C reveals insights into NPC2 and Ebola virus interactions.,Homo sapiens,Homo sapiens,27.952,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,Monomer,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
7N4X,"Li, X., Long, T.",,,PMC8373123,34407950,2021-09-01,,7N4X,6,experimental,,10.1126/sciadv.abh3997,Structures of dimeric human NPC1L1 provide insight into mechanisms for cholesterol absorption.,Homo sapiens,Homo sapiens,145.875,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
7DF8,"Hu, M., Sun, S., Sui, S.",,,PMC8284890,34272236,2021-08-04,,7DF8,5,experimental,,10.1126/sciadv.abg3188,Structural insights into the mechanism of human NPC1L1-mediated cholesterol uptake.,Homo sapiens,Homo sapiens,139.683,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
7DFW,"Hu, M., Sun, S.",,,PMC8284890,34272236,2021-08-11,,7DFW,5,experimental,,10.1126/sciadv.abg3188,Structural insights into the mechanism of human NPC1L1-mediated cholesterol uptake.,Homo sapiens,Homo sapiens,141.212,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
7N4V,"Li, X., Long, T.",,,PMC8373123,34407950,2021-09-01,,7N4V,12,experimental,,10.1126/sciadv.abh3997,Structures of dimeric human NPC1L1 provide insight into mechanisms for cholesterol absorption.,Homo sapiens,Homo sapiens,145.904,Homo 2-mer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
3GKI,"Kwon, H.J.","25% PEG 1500, 100 mM MES Acid, 30 mM Glycine, pH 4.0, VAPOR DIFFUSION, HANGING DROP, temperature 294K",,PMC2739658,19563754,2009-07-14,,3GKI,9,experimental,1.8,10.1016/j.cell.2009.03.049,Structure of N-terminal domain of NPC1 reveals distinct subdomains for binding and transfer of cholesterol.,Trichoplusia ni,Homo sapiens,25.739,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
3GKJ,"Kwon, H.J.","25% PEG 1500, 100 mM MES Acid, 30 mM Glycine, pH 4.0, VAPOR DIFFUSION, HANGING DROP, temperature 294K",,PMC2739658,19563754,2009-07-14,,3GKJ,9,experimental,1.6,10.1016/j.cell.2009.03.049,Structure of N-terminal domain of NPC1 reveals distinct subdomains for binding and transfer of cholesterol.,Trichoplusia ni,Homo sapiens,25.739,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
5KWY,"Li, X.","0.1M MES pH6.5, 0.1M NaCl, 30% (v/v) PEG400",,PMC5018801,27551080,2016-08-24,,5KWY,10,experimental,2.4,10.1073/pnas.1611956113,Clues to the mechanism of cholesterol transfer from the structure of NPC1 middle lumenal domain bound to NPC2.,Bacteria,Homo sapiens,28.234,Hetero 4-mer,,NPC1
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,14.664,,,NPC1
3QNT,"Kwon, H.J.","pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 294K",,PMC3078110,21525977,2011-05-11,,3QNT,9,experimental,2.83,10.1371/journal.pone.0018722,The Structure of the NPC1L1 N-Terminal Domain in a Closed Conformation.,Trichoplusia ni,Homo sapiens,28.075,Monomer,,NPC1
3GKH,"Kwon, H.J.","25% PEG 1500, 100 mM MES Acid, 30 mM Glycine, pH 4.0, VAPOR DIFFUSION, HANGING DROP, temperature 294K",,PMC2739658,19563754,2009-07-14,,3GKH,9,experimental,1.8,10.1016/j.cell.2009.03.049,Structure of N-terminal domain of NPC1 reveals distinct subdomains for binding and transfer of cholesterol.,Trichoplusia ni,Homo sapiens,25.739,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
7DFZ,"Hu, M., Sun, S.",,,PMC8284890,34272236,2021-08-11,,7DFZ,6,experimental,,10.1126/sciadv.abg3188,Structural insights into the mechanism of human NPC1L1-mediated cholesterol uptake.,Homo sapiens,Homo sapiens,139.612,Monomer,N-Glycosylation,NPC1
,,,,,,,,,,,,,,,,,,,NPC1
